Week,Player,Position,Game,Points,XPA,XPM,FGA,FGM,fifty
1,Greg Zuerlein,K,LA@OAK,17,3,3,5,4,1
1,Adam Vinatieri,K,CIN@IND,13,2,2,4,3,1
1,Brandon McManus,K,SEA@DEN,13,3,3,2,2,2
1,Jason Myers,K,NYJ@DET,12,6,6,2,2,0
1,Chandler Catanzaro,K,TB@NO,12,6,6,3,2,0
1,Justin Tucker,K,BUF@BAL,11,5,5,2,2,0
1,Cody Parkey,K,CHI@GB,11,2,2,3,3,0
1,Ryan Succop,K,TEN@MIA,10,2,2,2,2,1
1,Robbie Gould,K,SF@MIN,10,1,1,3,3,0
1,Randy Bullock,K,CIN@IND,10,4,4,2,2,0
1,Jason Sanders,K,TEN@MIA,9,3,3,2,2,0
1,Aldrick Rosas,K,JAX@NYG,9,0,0,3,3,0
1,Stephen Gostkowski,K,HOU@NE,9,3,3,2,2,0
1,Josh Lambo,K,JAX@NYG,8,2,2,2,2,0
1,Ka'imi Fairbairn,K,HOU@NE,8,2,2,2,2,0
1,Harrison Butker,K,KC@LAC,8,5,5,1,1,0
1,Matt Bryant,K,ATL@PHI,8,1,0,2,2,1
1,Mike Nugent,K,LA@OAK,7,1,1,2,2,0
1,Caleb Sturgis,K,KC@LAC,6,0,0,3,2,0
1,Wil Lutz,K,TB@NO,6,3,3,1,1,0
1,Sebastian Janikowski,K,SEA@DEN,6,3,3,2,1,0
1,Dustin Hopkins,K,WAS@ARI,6,3,3,1,1,0
1,Mason Crosby,K,CHI@GB,6,3,3,1,1,0
1,Daniel Carlson,K,SF@MIN,6,3,3,1,1,0
1,Matt Prater,K,NYJ@DET,5,2,2,3,1,0
1,Graham Gano,K,DAL@CAR,4,1,1,1,1,0
1,Jake Elliott,K,ATL@PHI,4,1,1,1,1,0
1,Stephen Hauschka,K,BUF@BAL,3,0,0,2,1,0
1,Zane Gonzalez,K,PIT@CLE,3,3,3,1,0,0
1,Chris Boswell,K,PIT@CLE,3,3,3,1,0,0
1,Brett Maher,K,DAL@CAR,0,0,0,1,0,0
1,Corey Bojorquez,K,BUF@BAL,0,0,0,0,0,0
2,Mason Crosby,K,MIN@GB,17,2,2,6,5,0
2,Robbie Gould,K,DET@SF,12,3,3,3,3,0
2,Randy Bullock,K,BAL@CIN,10,4,4,2,2,0
2,Matt Prater,K,DET@SF,9,3,3,2,2,0
2,Dustin Hopkins,K,IND@WAS,9,0,0,4,3,0
2,Ryan Succop,K,HOU@TEN,8,2,2,2,2,0
2,Jason Myers,K,MIA@NYJ,8,1,0,2,2,1
2,Brandon McManus,K,OAK@DEN,8,2,2,2,2,0
2,Brett Maher,K,NYG@DAL,8,2,2,2,2,0
2,Stephen Hauschka,K,LAC@BUF,8,2,2,2,2,0
2,Stephen Gostkowski,K,NE@JAX,8,2,2,3,2,0
2,Graham Gano,K,CAR@ATL,8,3,3,1,1,1
2,Justin Tucker,K,BAL@CIN,7,2,2,1,1,1
2,Caleb Sturgis,K,LAC@BUF,7,4,4,1,1,0
2,Aldrick Rosas,K,NYG@DAL,7,1,1,2,2,0
2,Mike Nugent,K,OAK@DEN,7,2,1,2,2,0
2,Wil Lutz,K,CLE@NO,7,1,1,3,2,0
