Week,Player,Position,Game,Points,Pass_Attempts,Pass_Completions,Yards,TD,INT,Two_Pass,Rush_Attempt,Rush_Yards,Rush_TD,Two_Rush,Receptions,Rec_Yards,Rec_TD,Two_Rec,FL,TD
1,Alvin Kamara,RB,TB@NO,33,0,0,0,0,0,0,8,29,2,1,9,112,1,0,0,0
1,James Conner,RB,PIT@CLE,29,0,0,0,0,0,0,31,135,2,0,5,57,0,0,1,0
1,Isaiah Crowell,RB,NYJ@DET,22,0,0,0,0,0,0,10,102,2,0,0,0,0,0,0,0
1,Adrian Peterson,RB,WAS@ARI,21,0,0,0,0,0,0,26,96,1,0,2,70,0,0,1,0
1,Joe Mixon,RB,CIN@IND,20,0,0,0,0,0,0,17,95,1,0,5,54,0,0,0,0
1,Jay Ajayi,RB,ATL@PHI,20,0,0,0,0,0,0,15,62,2,1,0,0,0,0,0,0
1,Todd Gurley,RB,LA@OAK,19,0,0,0,0,0,0,20,108,0,0,3,39,1,0,0,0
1,Chris Thompson,RB,WAS@ARI,18,0,0,0,0,0,0,5,65,0,0,6,63,1,0,0,0
1,Melvin Gordon,RB,KC@LAC,18,0,0,0,0,0,0,15,64,0,1,9,102,0,0,0,0
1,Saquon Barkley,RB,JAX@NYG,18,0,0,0,0,0,0,18,106,1,0,2,22,0,0,0,0
1,Austin Ekeler,RB,KC@LAC,17,0,0,0,0,0,0,5,39,0,0,5,87,1,0,0,0
1,Phillip Lindsay,RB,SEA@DEN,16,0,0,0,0,0,0,15,71,0,0,2,31,1,0,0,0
1,Dion Lewis,RB,TEN@MIA,16,0,0,0,0,0,0,16,75,1,0,5,35,0,0,0,0
1,Ezekiel Elliott,RB,DAL@CAR,13,0,0,0,0,0,0,15,69,1,0,3,17,0,0,0,0
1,T.J. Yeldon,RB,JAX@NYG,12,0,0,0,0,0,0,14,51,0,0,3,18,1,0,0,0
1,David Johnson,RB,WAS@ARI,12,0,0,0,0,0,0,9,37,1,0,5,30,0,0,0,0
1,Carlos Hyde,RB,PIT@CLE,12,0,0,0,0,0,0,22,62,1,0,1,3,0,0,0,0
1,James White,RB,HOU@NE,10,0,0,0,0,0,0,5,18,0,0,4,38,1,0,0,0
1,Lamar Miller,RB,HOU@NE,10,0,0,0,0,0,0,20,98,0,0,1,11,0,0,0,0
1,Marshawn Lynch,RB,LA@OAK,10,0,0,0,0,0,0,11,41,1,0,2,8,0,0,0,0
1,Jordan Howard,RB,CHI@GB,10,0,0,0,0,0,0,15,82,0,0,5,25,0,0,0,0
1,Kenneth Dixon,RB,BUF@BAL,10,0,0,0,0,0,0,13,44,1,0,0,0,0,0,0,0
1,Anthony Sherman,RB,KC@LAC,9,0,0,0,0,0,0,0,0,0,0,1,36,1,0,0,0
1,Tevin Coleman,RB,ATL@PHI,9,0,0,0,0,0,0,9,19,1,0,1,26,0,0,0,0
1,Alfred Blue,RB,HOU@NE,9,0,0,0,0,0,0,5,36,1,0,0,0,0,0,0,0
1,Christian McCaffrey,RB,DAL@CAR,8,0,0,0,0,0,0,10,50,0,0,6,45,0,0,1,0
1,Dalvin Cook,RB,SF@MIN,8,0,0,0,0,0,0,16,40,0,0,6,55,0,0,1,0
1,Javorius Allen,RB,BUF@BAL,8,0,0,0,0,0,0,4,17,1,0,5,15,0,0,0,0
1,Jalen Richard,RB,LA@OAK,7,0,0,0,0,0,0,5,24,0,0,9,55,0,0,0,0
1,Royce Freeman,RB,SEA@DEN,7,0,0,0,0,0,0,15,71,0,0,0,0,0,0,0,0
1,Jordan Wilkins,RB,CIN@IND,6,0,0,0,0,0,0,14,40,0,0,3,21,0,0,0,0
1,De'Anthony Thomas,RB,KC@LAC,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,Bilal Powell,RB,NYJ@DET,6,0,0,0,0,0,0,12,60,0,0,1,5,0,0,0,0
1,Frank Gore,RB,TEN@MIA,6,0,0,0,0,0,0,9,61,0,0,0,0,0,0,0,0
1,Alex Collins,RB,BUF@BAL,6,0,0,0,0,0,0,7,13,1,0,1,6,0,0,1,0
1,Chris Carson,RB,SEA@DEN,6,0,0,0,0,0,0,7,51,0,0,3,28,0,0,1,0
1,Rex Burkhead,RB,HOU@NE,6,0,0,0,0,0,0,18,64,0,0,1,5,0,0,0,0
1,Peyton Barber,RB,TB@NO,6,0,0,0,0,0,0,19,69,0,0,0,0,0,0,0,0
1,Kyle Juszczyk,RB,SF@MIN,5,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0
1,Leonard Fournette,RB,JAX@NYG,5,0,0,0,0,0,0,9,41,0,0,3,14,0,0,0,0
1,Kenyan Drake,RB,TEN@MIA,5,0,0,0,0,0,0,14,48,0,0,3,18,0,0,0,0
1,Jamaal Williams,RB,CHI@GB,4,0,0,0,0,0,0,15,47,0,0,0,0,0,0,0,0
1,Latavius Murray,RB,SF@MIN,4,0,0,0,0,0,0,11,42,0,0,0,0,0,0,0,0
1,Kareem Hunt,RB,KC@LAC,4,0,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0
1,Nyheim Hines,RB,CIN@IND,4,0,0,0,0,0,0,5,19,0,0,7,33,0,0,0,0
1,Devonta Freeman,RB,ATL@PHI,4,0,0,0,0,0,0,6,36,0,0,3,14,0,0,0,0
1,Chase Edmonds,RB,WAS@ARI,4,0,0,0,0,0,0,4,24,0,0,4,24,0,0,0,0
1,Matt Breida,RB,SF@MIN,4,0,0,0,0,0,0,11,46,0,0,1,5,0,0,0,0
1,Spencer Ware,RB,KC@LAC,3,0,0,0,0,0,0,3,32,0,0,1,8,0,0,0,0
1,Darren Sproles,RB,ATL@PHI,3,0,0,0,0,0,0,5,10,0,0,4,22,0,0,0,0
1,Theo Riddick,RB,NYJ@DET,3,0,0,0,0,0,0,4,20,0,0,5,15,0,0,0,0
1,Rashaad Penny,RB,SEA@DEN,3,0,0,0,0,0,0,7,8,0,0,4,35,0,0,0,0
1,Marcus Murphy,RB,BUF@BAL,3,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0
1,Kerryon Johnson,RB,NYJ@DET,3,0,0,0,0,0,0,5,17,0,0,3,20,0,0,0,0
1,Tarik Cohen,RB,CHI@GB,3,0,0,0,0,0,0,5,25,0,0,3,16,0,0,0,0
1,C.J. Anderson,RB,DAL@CAR,3,0,0,0,0,0,0,7,35,0,0,0,0,0,0,0,0
1,Alfred Morris,RB,SF@MIN,2,0,0,0,0,0,0,12,38,0,0,0,0,0,0,1,0
1,Ty Montgomery,RB,CHI@GB,2,0,0,0,0,0,0,2,7,0,0,2,21,0,0,0,0
