Week,Player,Position,Game,Points,Pass_Attempts,Pass_Completions,Yards,TD,INT,Two_Pass,Rush_Attempt,Rush_Yards,Rush_TD,Two_Rush,Receptions,Rec_Yards,Rec_TD,Two_Rec,FL,TD
1,Jared Cook,TE,LA@OAK,18,0,0,0,0,0,0,0,0,0,0,9,180,0,0,0,0
1,Rob Gronkowski,TE,HOU@NE,17,0,0,0,0,0,0,0,0,0,0,7,123,1,0,1,0
1,Will Dissly,TE,SEA@DEN,16,0,0,0,0,0,0,0,0,0,0,3,105,1,0,0,0
1,Eric Ebron,TE,CIN@IND,11,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0
1,Jordan Reed,TE,WAS@ARI,10,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0
1,George Kittle,TE,SF@MIN,9,0,0,0,0,0,0,0,0,0,0,5,90,0,0,0,0
1,Kyle Rudolph,TE,SF@MIN,7,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
1,Jesse James,TE,PIT@CLE,6,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0
1,Delanie Walker,TE,TEN@MIA,5,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0
1,O.J. Howard,TE,TB@NO,5,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0
1,Jack Doyle,TE,CIN@IND,5,0,0,0,0,0,0,0,0,0,0,7,60,0,0,1,0
1,Benjamin Watson,TE,TB@NO,4,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0
1,Zach Ertz,TE,ATL@PHI,4,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
1,Tyler Eifert,TE,CIN@IND,4,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
1,Nick Boyle,TE,BUF@BAL,4,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
1,Maxx Williams,TE,BUF@BAL,3,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
1,Luke Stocker,TE,TEN@MIA,3,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
1,Greg Olsen,TE,DAL@CAR,3,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
1,Antonio Gates,TE,KC@LAC,3,0,0,0,0,0,0,0,0,0,0,2,16,0,1,0,0
1,Mark Andrews,TE,BUF@BAL,3,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
1,Logan Thomas,TE,BUF@BAL,2,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
1,Jordan Thomas,TE,HOU@NE,2,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
1,Austin Seferian-Jenkins,TE,JAX@NYG,2,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
1,Austin Hooper,TE,ATL@PHI,2,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
1,Virgil Green,TE,KC@LAC,2,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
1,Jake Butt,TE,SEA@DEN,2,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
1,Nick Vannett,TE,SEA@DEN,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
1,Erik Swoope,TE,CIN@IND,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
1,Geoff Swaim,TE,DAL@CAR,1,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
1,Jonnu Smith,TE,TEN@MIA,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
1,Ricky Seals-Jones,TE,WAS@ARI,1,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
1,David Njoku,TE,PIT@CLE,1,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
1,Lance Kendricks,TE,CHI@GB,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
1,Josh Hill,TE,TB@NO,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
1,Jeff Heuerman,TE,SEA@DEN,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
1,Mike Gesicki,TE,TEN@MIA,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
1,Darren Fells,TE,PIT@CLE,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
1,Evan Engram,TE,JAX@NYG,1,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
1,Rhett Ellison,TE,JAX@NYG,1,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
1,Jason Croom,TE,BUF@BAL,1,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
1,Trey Burton,TE,CHI@GB,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
1,Jordan Akins,TE,HOU@NE,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
1,Hakeem Valles,TE,NYJ@DET,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
1,C.J. Uzomah,TE,CIN@IND,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
1,Eric Tomlinson,TE,NYJ@DET,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
1,Levine Toilolo,TE,NYJ@DET,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
1,Ian Thomas,TE,DAL@CAR,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
1,Dion Sims,TE,CHI@GB,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
1,David Morgan,TE,SF@MIN,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
1,Tyler Kroft,TE,CIN@IND,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
1,Travis Kelce,TE,KC@LAC,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
1,Jimmy Graham,TE,CHI@GB,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
1,Dallas Goedert,TE,ATL@PHI,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
1,Vernon Davis,TE,WAS@ARI,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
1,Tyler Conklin,TE,SF@MIN,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2,Travis Kelce,TE,KC@PIT,22,0,0,0,0,0,0,0,0,0,0,7,109,2,0,0,0
2,Jesse James,TE,KC@PIT,19,0,0,0,0,0,0,0,0,0,0,5,138,1,0,0,0
2,O.J. Howard,TE,PHI@TB,15,0,0,0,0,0,0,0,0,0,0,3,96,1,0,0,0
2,Evan Engram,TE,NYG@DAL,12,0,0,0,0,0,0,0,0,0,0,7,67,1,0,0,0
2,Austin Hooper,TE,CAR@ATL,11,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0
2,Will Dissly,TE,SEA@CHI,10,0,0,0,0,0,0,0,0,0,0,3,42,1,0,0,0
2,Jimmy Graham,TE,MIN@GB,9,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,0
2,Zach Ertz,TE,PHI@TB,9,0,0,0,0,0,0,0,0,0,0,11,94,0,0,0,0
2,Austin Seferian-Jenkins,TE,NE@JAX,8,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0
2,Eric Ebron,TE,IND@WAS,8,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
2,Garrett Celek,TE,DET@SF,8,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0
2,Trey Burton,TE,SEA@CHI,8,0,0,0,0,0,0,1,2,0,0,4,20,1,0,0,0
2,Kyle Rudolph,TE,MIN@GB,7,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
2,Michael Roberts,TE,DET@SF,7,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0
2,A.J. Derby,TE,MIA@NYJ,7,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0
2,Mark Andrews,TE,BAL@CIN,7,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0
2,Tyler Higbee,TE,ARI@LA,6,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
2,Joshua Perkins,TE,PHI@TB,5,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
