Week,Player,Position,Game,Points,Pass_Attempts,Pass_Completions,Yards,TD,INT,Two_Pass,Rush_Attempt,Rush_Yards,Rush_TD,Two_Rush,Receptions,Rec_Yards,Rec_TD,Two_Rec,FL,TD
1,Tyreek Hill,WR,KC@LAC,28,0,0,0,0,0,0,2,4,0,0,7,169,2,0,0,0
1,DeSean Jackson,WR,TB@NO,26,0,0,0,0,0,0,0,0,0,0,5,146,2,0,0,0
1,Michael Thomas,WR,TB@NO,23,0,0,0,0,0,0,0,0,0,0,16,180,1,0,1,0
1,Kenny Stills,WR,TEN@MIA,22,0,0,0,0,0,0,0,0,0,0,4,106,2,0,0,0
1,Mike Evans,WR,TB@NO,20,0,0,0,0,0,0,0,0,0,0,7,147,1,0,0,0
1,Randall Cobb,WR,CHI@GB,20,0,0,0,0,0,0,0,0,0,0,9,142,1,0,0,0
1,Emmanuel Sanders,WR,SEA@DEN,19,0,0,0,0,0,0,0,0,0,0,10,135,1,0,0,0
1,Julio Jones,WR,ATL@PHI,17,0,0,0,0,0,0,1,11,0,0,10,169,0,0,0,0
1,Keenan Allen,WR,KC@LAC,16,0,0,0,0,0,0,0,0,0,0,8,108,1,0,0,0
1,Antonio Brown,WR,PIT@CLE,15,0,0,0,0,0,0,0,0,0,0,9,93,1,0,0,0
1,A.J. Green,WR,CIN@IND,14,0,0,0,0,0,0,0,0,0,0,6,92,1,0,1,0
1,Ted Ginn Jr.,WR,TB@NO,14,0,0,0,0,0,0,1,5,0,0,5,68,1,1,0,0
1,Davante Adams,WR,CHI@GB,14,0,0,0,0,0,0,0,0,0,0,5,88,1,0,0,0
1,Golden Tate,WR,NYJ@DET,13,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0
1,Demaryius Thomas,WR,SEA@DEN,12,0,0,0,0,0,0,0,0,0,0,6,63,1,0,0,0
1,Dante Pettis,WR,SF@MIN,12,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0
1,Cooper Kupp,WR,LA@OAK,12,0,0,0,0,0,0,2,16,0,0,5,52,1,0,0,0
1,Quincy Enunwa,WR,NYJ@DET,12,0,0,0,0,0,0,0,0,0,0,6,63,1,0,0,0
1,Phillip Dorsett,WR,HOU@NE,12,0,0,0,0,0,0,0,0,0,0,7,66,1,0,0,0
1,Geronimo Allison,WR,CHI@GB,12,0,0,0,0,0,0,0,0,0,0,5,69,1,0,0,0
1,JuJu Smith-Schuster,WR,PIT@CLE,11,0,0,0,0,0,0,0,0,0,0,5,119,0,0,0,0
1,Tyler Lockett,WR,SEA@DEN,11,0,0,0,0,0,0,0,0,0,0,3,59,1,0,0,0
1,Kenny Golladay,WR,NYJ@DET,11,0,0,0,0,0,0,0,0,0,0,7,114,0,0,0,0
1,Odell Beckham Jr.,WR,JAX@NYG,11,0,0,0,0,0,0,1,-1,0,0,11,111,0,0,0,0
1,Adam Thielen,WR,SF@MIN,10,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0
1,Willie Snead,WR,BUF@BAL,10,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0
1,Brandon Marshall,WR,SEA@DEN,10,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0
1,Jarvis Landry,WR,PIT@CLE,10,0,0,0,0,0,0,0,0,0,0,7,106,0,0,0,0
1,T.Y. Hilton,WR,CIN@IND,10,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0
1,Chris Godwin,WR,TB@NO,10,0,0,0,0,0,0,0,0,0,0,3,41,1,0,0,0
1,Stefon Diggs,WR,SF@MIN,10,0,0,0,0,0,0,1,8,0,0,3,43,1,0,0,0
1,John Brown,WR,BUF@BAL,10,0,0,0,0,0,0,1,1,0,0,3,44,1,0,0,0
